stop_id,stop_name,lat,lon,dist_from_lodz_km,reason,confidence
1300003,Brzeziny Traugutta kier. Wola Rakowa,51.80092968,19.75265881,20.86,name contains brzez,high
1300002,Brzeziny Szpital kier. Wola Rakowa,51.80550995,19.75544708,21.16,name contains brzez,high
1300001,Brzeziny Głowackiego,51.80389429,19.76220049,21.57,name contains brzez,high
1300030,Brzeziny Sienkiewicza kier. Głowackiego,51.80006955,19.76474314,21.65,name contains brzez,high
1500013,Koluszki Brzezińska Rondo kier. Będzelin,51.74875,19.799555,23.61,name contains brzez,high
1500022,Koluszki Brzezińska Rondo kier. Budziszewice,51.749941,19.801439,23.73,name contains brzez,high
1500012,Koluszki Brzezińska/Żeromskiego kier. Będzelin,51.748155,19.807375,24.15,name contains brzez,high
1500023,Koluszki Brzezińska/Żeromskiego kier. Budziszewice,51.747802,19.808108,24.2,name contains brzez,high
11000005,Rokiciny Brzezińska kier. Gałkówek Dworzec PKP,51.666167,19.775028,24.23,name contains brzez,high
11000026,Rokiciny Brzezińska kier. Łaznów,51.666194,19.777223,24.37,name contains brzez,high
1600061,Gajówka kier. Ozorków PKP,51.88680065,19.14773433,25.55,name contains gaj,high
1600072,Gajówka kier. Dalików,51.88689697,19.14744798,25.58,name contains gaj,high
47449,Wolbórka,51.593151,19.723394,26.05,name contains bór,high
11100024,Wolbórka PKP kier. Będków,51.59221507,19.72380894,26.14,name contains bór,high
11100027,Wolbórka PKP kier. Rydzynki,51.59227254,19.72382968,26.14,name contains bór,high
1600060,Gajówka - Parcel kier. Ozorków PKP,51.88590509,19.13357235,26.31,name contains gaj,high
1600073,Gajówka - Parcel kier. Dalików,51.88594896,19.13354956,26.32,name contains gaj,high
1500005,Regny Leśniczówka kier. Będzelin,51.704325,19.882414,29.93,name contains leś,high
1500030,Regny Leśniczówka kier. Budziszewice,51.703764,19.882864,29.97,name contains leś,high
46656,Borszewice,51.609768,19.03549,33.48,name contains bor,high
1100030,Zelów Plac Dąbrowskiego kier. Łask,51.464606,19.219203,36.65,name contains dąb,high
1100025,Zelów Plac Dąbrowskiego kier. Szczerców,51.464475,19.219125,36.66,name contains dąb,high
1800008,Białynin Podbór kier. Rogów PKP,51.798972,20.025528,39.36,name contains bór,high
1800023,Białynin Podbór kier. Rawa Maz.,51.7975,20.028445,39.54,name contains bór,high
47381,Dąbrowice Skierniewickie,51.933401,20.103274,48.43,name contains dąb,high
49064,Podbór,51.360461,20.875478,107.62,name contains bór,high
2800029,Brzask - przystanek autobusowy Bugaj (droga 42/ 01 i 02),51.09784499,20.80207665,118.76,name contains gaj,high
2800025,Brzask - przystanek autobusowy Bugaj (droga 42/ 01 i 02),51.09758175,20.8026183,118.81,name contains gaj,high
47258,Koluszki,51.74526,19.819521,25.0,"rural, 25.0 km from Łódź",medium
1600012,Ozorków Konstytucji 3 Maja / Nowe Miasto kier. Ozorków PKP,51.958431,19.287666,25.02,"rural, 25.0 km from Łódź",medium
1600029,Ozorków Konstytucji 3 Maja / Nowe Miasto kier. Leźnica Wlk (Osiedle),51.958853,19.28543,25.13,"rural, 25.1 km from Łódź",medium
1600006,Ozorków Zachodnia kier. Ozorków PKP,51.956417,19.275653,25.21,"rural, 25.2 km from Łódź",medium
1600035,Ozorków Zachodnia kier. Leźnica Wlk (Osiedle),51.956589,19.275742,25.23,"rural, 25.2 km from Łódź",medium
1600062,Bardzynin kier. Ozorków PKP,51.89315784,19.16057645,25.23,"rural, 25.2 km from Łódź",medium
1500010,Koluszki 11 Listopada kier. Będzelin,51.739314,19.822253,25.24,"rural, 25.2 km from Łódź",medium
1500025,Koluszki 11 Listopada kier. Budziszewice,51.739314,19.822253,25.24,"rural, 25.2 km from Łódź",medium
1600071,Bardzynin kier. Dalików,51.8930904,19.16037694,25.24,"rural, 25.2 km from Łódź",medium
1600027,Ozorków Starzyńskiego kier. Leźnica Wlk (Osiedle),51.961597,19.290136,25.25,"rural, 25.3 km from Łódź",medium
1600011,Ozorków Konstytucji 3 Maja 37 kier. Ozorków PKP,51.958806,19.280761,25.28,"rural, 25.3 km from Łódź",medium
1600030,Ozorków Konstytucji 3 Maja 37 kier. Leźnica Wlk (Osiedle),51.958806,19.280761,25.28,"rural, 25.3 km from Łódź",medium
1600014,Ozorków Starzyńskiego kier. Ozorków PKP,51.962156,19.290627,25.29,"rural, 25.3 km from Łódź",medium
1500034,Będzelin OSP,51.706667,19.815417,25.37,"rural, 25.4 km from Łódź",medium
1600063,Huta Bardzyńska kier. Ozorków PKP,51.90096455,19.1672983,25.39,"rural, 25.4 km from Łódź",medium
1600070,Huta Bardzyńska kier. Dalików,51.9009548,19.16715852,25.4,"rural, 25.4 km from Łódź",medium
1600041,Ozorków Konstytucji 3 Maja / PKP kier. Ozorków PKP,51.958036,19.268842,25.6,"rural, 25.6 km from Łódź",medium
1600043,Ozorków Konstytucji 3 Maja / PKP kier. Parzęczew,51.958083,19.268306,25.63,"rural, 25.6 km from Łódź",medium
251557,Ozorków Nowe Miasto,51.958831,19.269708,25.65,"rural, 25.7 km from Łódź",medium
1500026,Koluszki Partyzantów kier. Budziszewice,51.730528,19.826778,25.66,"rural, 25.7 km from Łódź",medium
1600064,Symonia kier. Ozorków PKP,51.91165845,19.17649255,25.66,"rural, 25.7 km from Łódź",medium
1600069,Symonia kier. Dalików,51.91188468,19.17661842,25.67,"rural, 25.7 km from Łódź",medium
1500009,Koluszki Partyzantów kier. Będzelin,51.73025,19.82725,25.69,"rural, 25.7 km from Łódź",medium
1600038,Wytrzyszczki 5 kier. Leźnica Wlk (Osiedle),51.946227,19.235464,25.76,"rural, 25.8 km from Łódź",medium
1600004,Wytrzyszczki 20 kier. Ozorków PKP,51.949733,19.242719,25.79,"rural, 25.8 km from Łódź",medium
1600037,Wytrzyszczki 20 kier. Leźnica Wlk (Osiedle),51.950597,19.244089,25.82,"rural, 25.8 km from Łódź",medium
1600003,Wytrzyszczki 5 kier. Ozorków PKP,51.9462,19.233189,25.85,"rural, 25.9 km from Łódź",medium
1600005,Ozorków Konstytucji Makowa kier. Ozorków PKP,51.957939,19.259914,25.91,"rural, 25.9 km from Łódź",medium
1600017,Ozorków Wigury kier. Ozorków PKP,51.967222,19.285472,25.95,"rural, 26.0 km from Łódź",medium
1600024,Ozorków Wigury kier. Leźnica Wlk (Osiedle),51.967194,19.285306,25.95,"rural, 26.0 km from Łódź",medium
1600036,Ozorków Konstytucji Makowa kier. Leźnica Wlk (Osiedle),51.957872,19.258711,25.95,"rural, 25.9 km from Łódź",medium
1700022,Rokiciny pos. 73 kier. Dworzec PKP,51.666444,19.806778,26.21,"rural, 26.2 km from Łódź",medium
47506,Słotwiny,51.725198,19.834045,26.23,"rural, 26.2 km from Łódź",medium
1600018,Ozorków Stypułkowskiego kier. Ozorków PKP,51.968903,19.282067,26.23,"rural, 26.2 km from Łódź",medium
1600023,Ozorków Stypułkowskiego kier. Leźnica Wlk (Osiedle,51.968914,19.281898,26.23,"rural, 26.2 km from Łódź",medium
1700020,Rokiciny pos. 73 kier. Łaznów,51.665139,19.80625,26.24,"rural, 26.2 km from Łódź",medium
1600002,Piaskowice Stacja Paliw kier. Ozorków PKP,51.946858,19.223634,26.31,"rural, 26.3 km from Łódź",medium
1600039,Piaskowice Stacja Paliw kier. Leźnica Wlk (Osiedle),51.946911,19.223428,26.32,"rural, 26.3 km from Łódź",medium
1700009,Zacharz Północna kier. Rokiciny,51.607611,19.750056,26.32,"rural, 26.3 km from Łódź",medium
1700006,Zacharz Północna kier. Będków,51.607083,19.749833,26.34,"rural, 26.3 km from Łódź",medium
1700005,Łaznów pos. 22 kier. Będków,51.620667,19.767667,26.38,"rural, 26.4 km from Łódź",medium
1700010,Łaznów pos. 22 kier. Rokiciny,51.620861,19.768139,26.4,"rural, 26.4 km from Łódź",medium
1600022,Ozorków Łęczycka kier. Leźnica Wlk (Osiedle),51.969978,19.274606,26.57,"rural, 26.6 km from Łódź",medium
1600019,Ozorków Łęczycka kier. Ozorków PKP,51.970067,19.274095,26.59,"rural, 26.6 km from Łódź",medium
1700013,Rokiciny Rondo kier. Dworzec PKP,51.650986,19.801122,26.59,"rural, 26.6 km from Łódź",medium
11000003,Rokiciny Rondo kier. Gałkówek Dworzec PKP,51.650986,19.801122,26.59,"rural, 26.6 km from Łódź",medium
